symbol,name,sector_name,list_days,amount_proxy,turnover_rate,total_mv,source,group
300444.SZ,双杰电气,电气设备,4040,1545384272.15504,12.0941,1277800.144,screenshot_watchlist,电气设备
300450.SZ,先导智能,专用机械,4015,3099615725.510286,3.5467,8739435.8855,,
300454.SZ,深信服,软件服务,2921,2188058301.940564,4.2244,5179571.7781,,
300456.SZ,赛微电子,半导体,4019,4545088626.269796,11.8687,3829474.6908,,
300458.SZ,全志科技,半导体,4018,1853121731.6492012,5.1753,3580703.9817,,
300475.SZ,香农芯创,元器件,3992,10027867900.941769,11.3291,8851425.0037,,
300476.SZ,胜宏科技,元器件,3991,20706434903.36431,6.1928,33436304.9079,screenshot_watchlist,元器件
300480.SZ,光力科技,专用机械,3970,2550000972.3058205,17.7063,1440165.914,,
300489.SZ,光智科技,专用机械,3971,1432357331.749512,8.5533,1674625.3864,,
300491.SZ,通合科技,电气设备,3788,222611506.23362696,4.4353,501908.5659,screenshot_watchlist,电气设备
300496.SZ,中科创达,软件服务,3809,1520082529.608672,5.0832,2990404.7246,,
300499.SZ,高澜股份,专用机械,3755,1876052140.141935,14.2499,1316537.0565,,
300502.SZ,新易盛,通信设备,3725,24386190238.30899,4.0215,60639538.0786,screenshot_watchlist,通信设备
300503.SZ,昊志机电,机械基件,3719,2946343123.5259647,13.4369,2192725.3485,,
300548.SZ,长芯博创,通信设备,3502,5161663544.382523,7.0417,7330138.3819,,
300567.SZ,精测电子,电器仪表,3461,3399130727.4515495,6.9433,4895555.035,,
300568.SZ,星源材质,化工原料,3452,1598277918.0130398,7.172,2228496.8182,,
300570.SZ,太辰光,通信设备,3447,7010300367.336942,19.2426,3643114.9467,,
300571.SZ,平治信息,互联网,3440,2109849422.1805005,24.6155,857122.31,,
300576.SZ,容大感光,染料涂料,3433,2659629085.64529,17.061,1558894.0189,,
300602.SZ,飞荣达,元器件,3396,1601866208.48832,7.2792,2200607.496,,
300604.SZ,长川科技,半导体,3315,11785058825.758476,8.8669,13291069.9633,,
300607.SZ,拓斯达,专用机械,3382,2362540094.544526,14.9734,1577824.7389,,
300613.SZ,富瀚微,半导体,3371,1381428428.211575,9.4009,1469464.0175,,
300620.SZ,光库科技,通信设备,3353,6683178692.324898,9.8598,6778209.1851,,
300623.SZ,捷捷微电,半导体,3349,1324269611.011399,5.1389,2576951.5091,,
300632.SZ,光莆股份,半导体,3326,3407882649.6689367,31.6697,1076070.3921,,
300651.SZ,金陵体育,文教休闲,3293,1331707633.795656,27.5028,484208.0202,,
300655.SZ,晶瑞电材,半导体,3279,1376752750.653168,7.8864,1745730.3087,,
300657.SZ,弘信电子,元器件,3279,1777033897.824248,10.1903,1743848.4616,,
300661.SZ,圣邦股份,半导体,3265,3841512078.646906,5.7361,6697080.0346,,
300666.SZ,江丰电子,半导体,3256,4687482177.665196,9.3054,5037378.4874,,
300672.SZ,国科微,半导体,3229,3129714949.802701,6.118,5115585.0765,,
300679.SZ,电连技术,元器件,3210,1822876688.9872,7.8488,2322490.94,,
300684.SZ,中石科技,元器件,3061,1199109371.651301,6.6693,1797953.8657,,
300687.SZ,赛意信息,软件服务,3207,1705615361.6816962,15.2528,1118230.9882,,
300693.SZ,盛弘股份,电气设备,3188,2105082206.989404,11.1718,1884282.0378,,
300706.SZ,阿石创,元器件,3153,1238445610.791489,15.9591,776012.1879,,
300718.SZ,长盛轴承,机械基件,3112,1856321777.111269,7.8299,2370811.6031,,
300720.SZ,海川智能,电器仪表,3112,1183474733.807904,8.8372,1339196.5032,,
300721.SZ,怡达股份,,,,,,lianban_pool,化工原料
300724.SZ,捷佳伟创,专用机械,2835,2574498197.534315,8.1605,3154828.9903,,
300726.SZ,宏达电子,元器件,3097,1973632298.21028,8.7084,2266354.667,,
300738.SZ,奥飞数据,软件服务,3038,3671569008.379164,13.6212,2695481.3147,,
300745.SZ,欣锐科技,汽车配件,2914,1226504396.8159368,14.7319,832550.0423,,
300748.SZ,金力永磁,矿物制品,2793,2596762959.219833,5.3281,4873712.8793,,
300750.SZ,宁德时代,电气设备,2895,13675361300.934526,0.6978,195978235.8976,,
300751.SZ,迈为股份,专用机械,2744,5272100205.753725,7.2665,7255350.1765,,
300757.SZ,罗博特科,专用机械,2684,6001752490.409633,6.0694,9888543.3328,,
300762.SZ,上海瀚讯,通信设备,2619,1404283377.37302,5.2457,2677018.086,,
300763.SZ,锦浪科技,电气设备,2614,2628582977.8145328,6.8359,3845262.4787,,
300769.SZ,德方纳米,化工原料,2587,2570778004.665915,12.3805,2076473.4903,,
300773.SZ,拉卡拉,软件服务,2577,1187826391.627672,5.7496,2065928.7457,,
300776.SZ,帝尔激光,专用机械,2555,5552472089.55589,13.7794,4029545.6185,screenshot_watchlist,专用机械
300782.SZ,卓胜微,半导体,2523,8448141263.253989,10.9951,7683551.0939,,
300785.SZ,值得买,互联网,2496,1194078629.338472,11.3576,1051347.6697,,
300790.SZ,宇瞳光学,元器件,2429,1274223771.78841,10.0322,1270133.9405,,
300803.SZ,指南针,软件服务,2370,2306576493.927846,3.8031,6064990.3866,,
300806.SZ,斯迪克,塑料,2363,2779286923.22034,7.334,3789592.2051,screenshot_watchlist,塑料
300809.SZ,华辰装备,机床制造,2354,1475899409.4190078,15.0108,983225.0176,,
300814.SZ,中富电路,元器件,1737,1182938040.382063,5.0693,2333533.3091,,
300820.SZ,英杰电气,电气设备,2283,2929105908.2268877,20.6408,1419085.4561,,
300821.SZ,东岳硅材,化工原料,2255,1722167616.0,9.0488,1903200.0,,
300827.SZ,上能电气,电气设备,2226,2356881248.708082,10.9173,2158849.9434,,
300831.SZ,派瑞股份,半导体,2199,1765526124.8,23.2013,760960.0,,
300835.SZ,龙磁科技,矿物制品,2181,1318324424.19063,9.6385,1367769.2838,,
300846.SZ,首都在线,软件服务,2144,1766516358.111472,11.1976,1577584.8022,,
300855.SZ,图南股份,,,,,,screenshot_watchlist,小金属
300857.SZ,协创数据,IT设备,2118,7419167717.820654,5.5877,13277677.2515,,
300866.SZ,安克创新,元器件,2090,1208620392.83544,1.676,7211338.8594,,
300870.SZ,欧陆通,电气设备,2090,2134864082.385627,4.8173,4431661.0599,,
300878.SZ,维康药业,,,,,,lianban_pool,中成药
300885.SZ,海昌新材,机械基件,2073,1367787583.82266,17.6099,776715.134,,
300900.SZ,广联航空,航空,2024,2059519440.31792,14.666,1404281.6312,,
300903.SZ,科翔股份,元器件,2017,4115610194.88501,12.5953,3267576.1553,,
300905.SZ,宝丽迪,染料涂料,2017,1830845145.701597,12.9607,1412612.8571,,
300919.SZ,中伟新材,电气设备,1969,1452200441.211,2.47,5879354.013,,
300953.SZ,震裕科技,电气设备,1884,2649992718.977998,6.6709,3972466.5622,,
300959.SZ,线上线下,电信运营,1880,2335098162.6988,17.5031,1334105.48,,
300969.SZ,恒帅股份,汽车配件,1859,1277867729.25735,7.2703,1757654.745,,
300975.SZ,商络电子,元器件,1850,1355372471.1790118,8.8868,1525152.4409,,
300999.SZ,金龙鱼,食品,2038,2686261439.824295,1.7965,14952749.4563,,
301002.SZ,崧盛股份,电气设备,1803,1142194714.586412,14.6676,778719.5687,,
301005.SZ,超捷股份,汽车配件,1809,1536908382.3287249,6.7515,2276395.4415,,
301018.SZ,申菱环境,专用机械,1773,2630620092.013454,7.5014,3506838.8461,,
301029.SZ,怡合达,专用机械,1757,1199489050.64772,6.2072,1932415.6635,,
301031.SZ,中熔电气,电气设备,1765,1216668079.962288,7.0149,1734405.4512,,
301070.SZ,开勒股份,机械基件,1695,1208919860.447712,13.8698,871620.2544,,
301071.SZ,力量钻石,矿物制品,1694,1362165734.6455948,9.1641,1486415.1795,,
301095.SZ,广立微,半导体,1379,2261905512.90737,9.8989,2285006.933,,
301123.SZ,奕东电子,元器件,1571,1163099651.364,6.7857,1714045.2,,
301128.SZ,强瑞技术,专用机械,1647,1826979538.993497,8.4987,2149716.4731,,
301157.SZ,华塑科技,电气设备,1163,1316340498.0,26.7223,492600.0,,
301165.SZ,锐捷网络,通信设备,1271,1318340099.2536058,1.7358,7594999.9957,,
